,Movie,Year,Duration,Rating,Metascore,Votes,Gross Total (Millions)
0,Soul,2020,100,8.1,83,162314,
1,Avengers: Endgame,2019,181,8.4,78,811471,858.37
2,The Wolf of Wall Street,2013,180,8.2,75,1188851,116.9
3,The Gentlemen,2019,113,7.8,51,238378,
4,The Last Picture Show,1971,118,8,93,42525,29.13
5,Parasite,2019,132,8.6,96,554398,53.37
6,Sound of Metal,2019,120,7.8,81,27957,
7,Another Round,2020,117,7.8,81,34760,
8,Once Upon a Time... In Hollywood,2019,161,7.6,83,552315,142.5
9,The Big Short,2015,130,7.8,81,363688,70.26
10,Knives Out,2019,130,7.9,82,455271,165.36
11,The Shawshank Redemption,1994,142,9.3,80,2344517,28.34
12,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,658629,317.58
13,The Godfather,1972,175,9.2,100,1621475,134.97
14,The Trial of the Chicago 7,2020,129,7.8,77,90784,
15,Young Frankenstein,1974,106,8,80,143462,86.3
16,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1662388,315.54
17,1917,2019,119,8.3,78,427056,159.23
18,The Dark Knight,2008,152,9,84,2304527,534.86
19,Interstellar,2014,169,8.6,74,1513598,188.02
20,Joker,2019,122,8.5,59,940765,335.45
21,Avengers: Infinity War,2018,149,8.4,68,835411,678.82
22,Inception,2010,148,8.8,74,2068312,292.58
23,Inglourious Basterds,2009,153,8.3,69,1268751,120.54
24,Goodfellas,1990,146,8.7,90,1021416,46.84
25,Titanic,1997,194,7.8,75,1046711,659.33
26,The Intouchables,2011,112,8.5,57,761017,13.18
27,Pulp Fiction,1994,154,8.9,94,1827265,107.93
28,Blade Runner 2049,2017,164,8,81,462232,92.05
29,The Departed,2006,151,8.5,85,1190489,132.38
30,Jojo Rabbit,2019,108,7.9,58,298543,0.35
31,Fight Club,1999,139,8.8,66,1855847,37.03
32,The Silence of the Lambs,1991,118,8.6,85,1270985,130.74
33,Gone Girl,2014,149,8.1,79,860272,167.77
34,Hamilton,2020,160,8.5,90,55572,
35,The Help,2011,146,8,62,428730,169.71
36,Guardians of the Galaxy,2014,121,8,76,1043930,333.18
37,Thor: Ragnarok,2017,130,7.9,74,588285,315.06
38,Se7en,1995,127,8.6,65,1446029,100.13
39,Schindler's List,1993,195,8.9,94,1214172,96.9
40,The Matrix,1999,136,8.7,73,1677415,171.48
41,Catch Me If You Can,2002,141,8.1,75,833592,164.62
42,Rogue One: A Star Wars Story,2016,133,7.8,65,556969,532.18
43,Star Wars: Episode IV - A New Hope,1977,121,8.6,90,1232105,322.74
44,Gladiator,2000,155,8.5,67,1342137,187.71
45,Mad Max: Fury Road,2015,120,8.1,90,882803,154.06
46,Requiem for a Dream,2000,102,8.3,68,767284,3.64
47,Call Me by Your Name,2017,132,7.9,93,212998,18.1
48,Pride & Prejudice,2005,129,7.8,82,259109,38.41
49,No Country for Old Men,2007,122,8.1,91,857470,74.28
50,Django Unchained,2012,165,8.4,81,1358554,162.81
51,The Girl with the Dragon Tattoo,2011,158,7.8,71,423254,102.52
52,The Lord of the Rings: The Return of the King,2003,201,8.9,94,1643598,377.85
53,Green Book,2018,130,8.2,69,378617,85.08
54,Forrest Gump,1994,142,8.8,82,1810408,330.25
55,Prisoners,2013,153,8.1,70,601596,61
56,Guardians of the Galaxy Vol. 2,2017,136,7.6,67,570421,389.81
57,Little Women,2019,135,7.8,91,143540,108.1
58,Heat,1995,170,8.2,76,577476,67.44
59,The Dark Knight Rises,2012,164,8.4,78,1517053,448.14
60,Dazed and Confused,1993,102,7.6,78,165545,7.99
61,Ford v Ferrari,2019,152,8.1,81,291876,117.62
62,The Prestige,2006,130,8.5,66,1190979,53.09
63,Baby Driver,2017,113,7.6,86,439750,107.83
64,The Irishman,2019,209,7.9,94,325174,7
65,The Princess Bride,1987,98,8,77,394041,30.86
66,Back to the Future,1985,116,8.5,87,1058729,210.61
67,Léon: The Professional,1994,110,8.5,64,1035887,19.5
68,Saving Private Ryan,1998,169,8.6,91,1236561,216.54
69,The Green Mile,1999,189,8.6,61,1148562,136.8
70,"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88,433050,54.51
71,Terminator 2: Judgment Day,1991,137,8.5,75,995936,204.84
72,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,764977,381.01
73,The Avengers,2012,143,8,69,1261274,623.28
74,Deadpool,2016,108,8,65,903073,363.07
75,Apocalypse Now,1979,147,8.4,94,606741,83.47
76,Star Wars: Episode VII - The Force Awakens,2015,138,7.9,80,861194,936.66
77,Iron Man,2008,126,7.9,79,940099,318.41
78,Donnie Darko,2001,113,8,88,740333,1.48
79,A Star Is Born,2018,136,7.6,88,334622,215.29
80,Alien,1979,117,8.4,89,788233,78.9
81,Whiplash,2014,106,8.5,88,718163,13.09
82,Room,2015,118,8.1,86,371841,14.68
83,Get Out,2017,104,7.7,85,493241,176.04
84,Snatch,2000,102,8.3,55,782363,30.33
85,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8,63,1015390,305.41
86,The Shining,1980,146,8.4,66,898810,44.02
